1,1,2,0,1,0,9,28,3,1,2,3,4,5,6
0,2,3,0,1,1,23,9,3,7,8,9,4,5,6
1,2,3,1,2,0,14,9,28,7,8,9,1,2,3
0,3,4,0,1,1,29,9,3,10,11,12,4,5,6
0,3,4,1,2,0,20,9,28,10,11,12,1,2,3
1,3,4,2,3,1,6,9,9,10,11,12,7,8,9
1,4,5,1,2,1,28,16,28,7,8,9,1,2,3
0,4,5,2,3,0,14,16,9,7,8,9,7,8,9
0,4,5,3,4,0,8,16,9,7,8,9,10,11,12
0,5,6,2,3,0,24,20,9,13,1,11,7,8,9
0,5,6,3,4,0,18,20,9,13,1,11,10,11,12
1,5,6,4,5,1,10,20,16,13,1,11,7,8,9
0,6,7,3,4,1,27,8,9,14,15,7,10,11,12
0,6,7,4,5,0,19,8,16,14,15,7,7,8,9
1,6,7,5,6,0,9,8,20,14,15,7,13,1,11
0,7,8,4,5,1,21,11,16,16,17,7,7,8,9
0,7,8,5,6,1,11,11,20,16,17,7,13,1,11
0,7,8,6,7,0,2,11,8,16,17,7,14,15,7
0,8,9,5,6,0,24,8,20,7,18,19,13,1,11
1,8,9,6,7,1,15,8,8,7,18,19,14,15,7
0,8,9,7,8,0,13,8,11,7,18,19,16,17,7
0,9,10,6,7,1,20,6,8,7,20,21,14,15,7
0,9,10,7,8,0,18,6,11,7,20,21,16,17,7
1,9,10,8,9,1,5,6,8,7,20,21,7,18,19
0,10,11,7,8,1,37,15,11,7,22,9,16,17,7
0,10,11,8,9,0,24,15,8,7,22,9,7,18,19
1,10,11,9,10,0,19,15,6,7,22,9,7,20,21
0,11,12,8,9,0,27,10,8,23,24,25,7,18,19
0,11,12,9,10,0,22,10,6,23,24,25,7,20,21
1,11,12,10,11,1,3,10,15,23,24,25,7,22,9
0,12,13,9,10,1,36,2,6,17,6,0,7,20,21
0,12,13,10,11,0,17,2,15,17,6,0,7,22,9
1,12,13,11,12,0,14,2,10,17,6,0,23,24,25
0,13,13,10,11,0,17,12,15,23,11,26,7,22,9
0,13,13,11,12,0,14,12,10,23,11,26,23,24,25
1,13,13,12,13,1,0,12,2,23,11,26,17,6,0
0,14,14,11,12,0,30,9,10,27,7,28,23,24,25
0,14,14,12,13,1,16,9,2,27,7,28,17,6,0
